,0
MB003,120034.0
MB010,116418.0
MB004,116262.0
AK014,115553.0
MB008,114235.0
MB007,112856.0
AK016,109907.0
MB006,107199.0
MB009,105711.0
MB011,105059.0
AK010,104173.0
MB012,102929.0
AK017,100481.0
AK006,99514.0
AK024,99494.0
AK009,99436.0
MB016,99254.0
MB015,98736.0
AK018,98675.0
MB013,95173.0
AK013,93962.0
AK011,92926.0
MB014,92703.0
AK020,90624.0
AK007,90484.0
AK023,88993.0
MB002,88284.0
AK019,88010.0
MB005,86531.0
MB001,85622.0
AK021,85371.0
AK022,77925.0
AK005,75089.0
AK015,73593.0
AK012,65693.0
AK008,44960.0
